idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersFaxNumber,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,tr-org:hasLEI,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,isIncorporatedIn,isDomiciledIn,hasURL,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,hasInactiveDate,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy
https://permid.org/1-21521828740,tr-fin:Instrument,21521828740,,,,,,,,,,,,,,,,,,,,,,Hemisphere Media Group Ord Shs Class A,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-21522698899,https://permid.org/1-5038303931
https://permid.org/1-25727383830,tr-fin:Instrument,25727383830,,,,,,,,,,,,,,,,,,,,,,Schultze Special Purpose Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727383829,https://permid.org/1-5066621111
https://permid.org/1-21565620785,tr-fin:Instrument,21565620785,,,,,,,,,,,,,,,,,,,,,,Global Partner Acquisition Units,https://permid.org/1-302043,tr-fin:instrumentStatusInActive,https://permid.org/1-21565699594,https://permid.org/1-5046050363
https://permid.org/1-8589967256,tr-fin:Instrument,8589967256,,,,,,,,,,,,,,,,,,,,,,Global Services Partners Acquisition Class B Units,https://permid.org/1-302043,tr-fin:instrumentStatusInActive,https://permid.org/1-55839921345,https://permid.org/1-4298052425
https://permid.org/1-21475769160,tr-fin:Instrument,21475769160,,,,,,,,,,,,,,,,,,,,,,Flatworld Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-21475769161,https://permid.org/1-5001191270
https://permid.org/1-21569402849,tr-fin:Instrument,21569402849,,,,,,,,,,,,,,,,,,,,,,Electrum Special Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusInActive,https://permid.org/1-21569402862,https://permid.org/1-5045876003
https://permid.org/1-8589964120,tr-fin:Instrument,8589964120,,,,,,,,,,,,,,,,,,,,,,Phoenix India Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusInActive,https://permid.org/1-55838848126,https://permid.org/1-4295902207
https://permid.org/1-25727442551,tr-fin:Instrument,25727442551,,,,,,,,,,,,,,,,,,,,,,Priority Technology Holdings Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727442550,https://permid.org/1-5051779426
https://permid.org/1-25727383932,tr-fin:Instrument,25727383932,,,,,,,,,,,,,,,,,,,,,,FinTech Acquisition Ord Shs Class A,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727383931,https://permid.org/1-5066588738
https://permid.org/1-21690192214,tr-fin:Instrument,21690192214,,,,,,,,,,,,,,,,,,,,,,Alta Equipment Group Ord Shs Class A,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727373965,https://permid.org/1-5068335345
https://permid.org/1-21687373304,tr-fin:Instrument,21687373304,,,,,,,,,,,,,,,,,,,,,,Replay Acquisition Units,https://permid.org/1-302043,tr-fin:instrumentStatusActive,https://permid.org/1-25727375585,https://permid.org/1-5068337434
https://permid.org/1-8589994039,tr-fin:Instrument,8589994039,,,,,,,,,,,,,,,,,,,,,,MBF Healthcare Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusInActive,https://permid.org/1-21475483116,https://permid.org/1-4295902837
https://permid.org/1-8590884585,tr-fin:Instrument,8590884585,,,,,,,,,,,,,,,,,,,,,,BBV Vietnam S E A Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusInActive,https://permid.org/1-55838800352,https://permid.org/1-4297877679
