idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy,tr-org:hasLEI,isIncorporatedIn,isDomiciledIn,hasURL,hasInactiveDate,tr-org:hasHeadquartersFaxNumber
https://permid.org/1-5071118550,tr-org:Organization,5071118550,https://permid.org/1-25727364808,https://permid.org/1-25727364809,"19 Rue de Bitbourg


LUXEMBOURG
1273
Luxembourg
","19, rue de Bitbourg
LUXEMBOURG
1273
Luxembourg
",tr-org:statusActive,,,2019-09-11T04:00:00Z,2019-03-13T00:00:00Z,https://permid.org/1-4294952830,https://permid.org/1-4294952723,https://permid.org/1-4294952829,Akazoo SA,,,,,,,,54930042WMZ25L7QXJ87,http://sws.geonames.org/2960313/,http://sws.geonames.org/2960313/,,,
https://permid.org/1-5068307106,tr-org:Organization,5068307106,,,"3414 Peachtree Rd NE Ste 480
ATLANTA
GEORGIA
30326-1828
",,tr-org:statusActive,14044431182.0,,,,,,,Modern Media Acquisition SA Corp,,,,,,,,,http://sws.geonames.org/2960313/,,,,
https://permid.org/1-5065976494,tr-org:Organization,5065976494,https://permid.org/1-25727369970,https://permid.org/1-25727369971,"40 Wall St Fl 29


NEW YORK
NEW YORK
10005-1485
","5348 Vegas Dr




LAS VEGAS
NEVADA
89108
",tr-org:statusActive,19172890932.0,tr-org:publiclyHeld,2019-05-22T04:00:00Z,2018-07-27T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Proficient Alpha Acquisition Corp,,,,,,,,549300K8CYX0YLHICY89,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://paac-us.com/,,
https://permid.org/1-5064566900,tr-org:Organization,5064566900,https://permid.org/1-25727400812,https://permid.org/1-21650293761,"777 Third Avenue, 37Th Floor


NEW YORK
NEW YORK
10017
","1013 Centre Rd Ste 403-B
WILMINGTON
DELAWARE
19805-1270
",tr-org:statusActive,12123197676.0,tr-org:publiclyHeld,2018-07-03T04:00:00Z,2017-08-07T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Allegro Merger Corp,18458183588.0,13024977115.0,,,,,,5493009YVGQK5AKMLC79,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5064572742,tr-org:Organization,5064572742,https://permid.org/1-25727399843,https://permid.org/1-25727399844,"A M F Building
25-28 Old Burlington Street
LONDON
W1S 3AN
United Kingdom
","PO Box 309, Ugland House
GRAND CAYMAN
KY1-1104
Cayman Islands
",tr-org:statusActive,442030962150.0,tr-org:publiclyHeld,2018-06-20T04:00:00Z,2017-11-30T00:00:00Z,https://permid.org/1-4294952999,https://permid.org/1-4294952782,https://permid.org/1-4294952992,Brooge Holdings Ltd,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/2635167/,,,
https://permid.org/1-5036787390,tr-org:Organization,5036787390,https://permid.org/1-21518568440,https://permid.org/1-21518567197,"75 Rockefeller Plz Fl 14
NEW YORK
NEW YORK
10019-6936
","850 New Burton Rd Ste 201
DOVER
DELAWARE
19904-5451
",tr-org:statusActive,12123508250.0,,2013-02-04T05:00:00Z,2011-07-22T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Chart Acquisition Corp,18002535177.0,18004831140.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5035167134,tr-org:Organization,5035167134,https://permid.org/1-21475893259,https://permid.org/1-21475893241,"90 Kifissias Avenue
Maroussi

ATHINA
ATTIKI
15125
Greece
","





Marshall Islands
",tr-org:statusInActive,302108764858.0,,,2010-11-01T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Nautilus Marine Acquisition Corp,,,,,,,,,http://sws.geonames.org/2080185/,http://sws.geonames.org/390903/,http://www.nautilusacquisition.com/,2013-10-25T00:00:00Z,
https://permid.org/1-4295899545,tr-org:Organization,4295899545,https://permid.org/1-55835097341,https://permid.org/1-8589977082,"151 S El Camino Dr


BEVERLY HILLS
CALIFORNIA
90212
","Corporation Trust Center
1209 Orange Street
New Castle County
WILMINGTON
DELAWARE
19801
",tr-org:statusActive,13108876400.0,tr-org:publiclyHeld,2007-11-15T05:00:00Z,2007-07-09T00:00:00Z,,,,Kennedy-Wilson Holdings Inc,13026555049.0,13026587581.0,,,,,,549300MOI1T78144X610,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,https://www.kennedywilson.com/,,13108873410.0
https://permid.org/1-5000359624,tr-org:Organization,5000359624,,,"200 VESEY ST
NEW YORK
NEW YORK
",,tr-org:statusActive,,,,,,,,American Express Business Loan Corp,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-4296059434,tr-org:Organization,4296059434,,,"3835 Presidential Pkwy
ATLANTA
GEORGIA
30340
",,tr-org:statusActive,17709860246.0,,,,,,,American Business Leasing Inc,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://www.americanbusinessleasing.com,,17709869553.0
